City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,muv,automatic,1,white,20,petrol,2020,7.31532,Renault-Triber
Hyderabad,hatchback,manual,1,grey,86,petrol+cng,2018,4.47,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,automatic,1,white,69,petrol,2019,4.72,Maruti Suzuki-Celerio
Hyderabad,hatchback,manual,1,silver,90,petrol,2014,4.21,Maruti Suzuki-Swift
Hyderabad,muv,manual,1,blue,46,petrol,2020,6.62,Renault-Triber
Hyderabad,hatchback,manual,1,bronze,125,petrol,2018,3.42,Renault-Kwid
Hyderabad,hatchback,manual,1,red,40,petrol,2022,4.49544,Renault-Kwid
Hyderabad,suv,manual,2,white,77,diesel,2017,9.54,Mahindra-Scorpio
Hyderabad,hatchback,manual,2,grey,46,petrol,2016,5.39623,Honda-Jazz
Hyderabad,hatchback,manual,1,silver,23,petrol,2015,2.82,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,silver,76,petrol,2017,3.07,Maruti Suzuki-Alto 800
Hyderabad,suv,manual,1,silver,16,petrol,2023,12.81548,Maruti Suzuki-Grand Vitara
Hyderabad,suv,manual,1,white,91,petrol,2020,11.64897,Kia-Seltos
Hyderabad,sedan,manual,1,grey,14,petrol,2018,6.28806,Maruti Suzuki-Dzire
Hyderabad,suv,manual,2,white,39,petrol,2020,8.02892,Honda-WR-V
Hyderabad,suv,manual,1,red,54,diesel,2021,12.43213,Mahindra-XUV 300
Hyderabad,hatchback,manual,1,grey,58,petrol,2011,2.9,Hyundai-i10
Hyderabad,hatchback,manual,1,red,44,petrol,2016,2.91296,Maruti Suzuki-Alto 800
Hyderabad,sedan,manual,1,silver,69,petrol,2011,3.95,Hyundai-Verna Transform
Hyderabad,hatchback,manual,2,silver,67,petrol,2013,3.26448,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,white,81,petrol,2015,5.02232,Honda-Jazz
Hyderabad,hatchback,manual,1,white,66,petrol,2014,3.59,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,blue,117,petrol,2016,5.48,Maruti Suzuki-Baleno
Hyderabad,hatchback,manual,1,white,112,petrol,2011,1.9378,Maruti Suzuki-Alto K10
Hyderabad,hatchback,manual,1,white,70,petrol,2016,3.14988,Hyundai-Eon
