City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,hatchback,manual,1,red,11,petrol,2022,4.87484,Maruti Suzuki-S-Presso
Kolkata,hatchback,manual,1,white,25,petrol,2021,7.09741,Hyundai-New i20
Chennai,hatchback,automatic,1,silver,26,petrol,2012,3.74167,Hyundai-i10
Bangalore,sedan,manual,1,grey,55,diesel,2018,9.95,Hyundai-Verna
Delhi,hatchback,automatic,1,bronze,28,petrol,2021,4.66371,Renault-Kwid
Bangalore,suv,automatic,1,black,12,diesel,2022,18.87594,Kia-Seltos
Pune,hatchback,manual,1,white,60,petrol,2015,2.99,Hyundai-Eon
Kolkata,sedan,automatic,1,silver,80,petrol,2015,4.99,Honda-City
Bangalore,hatchback,manual,1,grey,37,petrol,2014,3.79,Hyundai-i10
Pune,hatchback,manual,2,silver,59,diesel,2014,3.0,Chevrolet-Beat
Pune,hatchback,manual,1,red,54,petrol,2015,5.16,Volkswagen-Polo
Hyderabad,suv,manual,1,red,68,diesel,2019,12.72759,Mahindra-XUV500
Delhi,suv,manual,1,grey,22,petrol,2020,8.14,Maruti Suzuki-Vitara Brezza
Bangalore,suv,automatic,1,silver,85,diesel,2016,11.98902,Mahindra-XUV500
Bangalore,hatchback,automatic,1,blue,12,petrol,2020,8.28582,Toyota-Glanza
Delhi,hatchback,manual,1,white,59,petrol,2017,5.51,Hyundai-Elite i20
Kolkata,hatchback,manual,1,silver,92,petrol,2016,4.59,Maruti Suzuki-Baleno
Hyderabad,hatchback,manual,2,red,61,petrol,2017,3.01,Renault-Kwid
Bangalore,hatchback,manual,1,bronze,40,petrol,2015,3.38,Renault-Kwid
Hyderabad,hatchback,manual,1,red,23,diesel,2022,9.75867,Tata-Altroz
Pune,suv,manual,1,blue,55,diesel,2021,11.89,Mahindra-XUV 300
Delhi,hatchback,manual,1,grey,73,petrol,2017,5.39,Maruti Suzuki-Baleno
Delhi,hatchback,manual,1,silver,29,petrol,2012,3.21969,Maruti Suzuki-Swift
Delhi,hatchback,manual,1,white,56,petrol,2018,4.15,Tata-Tiago
Pune,suv,manual,3,orange,79,diesel,2019,10.97773,Tata-Harrier
Delhi,hatchback,manual,1,silver,63,petrol,2014,3.08,Honda-Brio
Pune,hatchback,manual,2,grey,110,petrol,2016,4.19,Hyundai-Grand i10
Bangalore,hatchback,manual,1,white,53,diesel,2018,6.12,Maruti Suzuki-Baleno
Kolkata,suv,automatic,1,black,32,diesel,2022,12.68,Kia-Sonet
Bangalore,hatchback,automatic,1,silver,18,petrol,2021,9.88,Honda-Jazz
Bangalore,hatchback,automatic,1,blue,49,petrol,2019,4.76,Renault-Kwid
Pune,hatchback,manual,1,brown,76,petrol+cng,2014,3.7,Maruti Suzuki-Wagon R 1.0
Chennai,hatchback,manual,1,blue,15,petrol,2021,6.69,Hyundai-Grand i10 Nios
Bangalore,hatchback,manual,1,blue,30,petrol,2016,7.1,Maruti Suzuki-Baleno
