Id,City,Make,Model,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price
12831987,Hyderabad,Volkswagen,Polo,hatchback,manual,1,red,34K,petrol,2019,734698.0
13322497,Hyderabad,Tata,Nexon,suv,manual,1,grey,25K,diesel,2021,1118856.0
13101998,Hyderabad,Tata,Tigor,sedan,manual,2,red,52K,diesel,2017,452000.0
13227279,Hyderabad,Hyundai,Elite i20,hatchback,manual,1,white,29K,petrol,2020,685000.0
13107583,Hyderabad,Tata,Altroz,hatchback,manual,1,grey,26K,petrol,2020,739000.0
12983100,Hyderabad,Renault,Triber,muv,manual,1,blue,27K,petrol,2019,605341.0
12854321,Hyderabad,Maruti Suzuki,Vitara Brezza,suv,manual,1,orange,22K,petrol,2021,964000.0
13296006,Hyderabad,Hyundai,Venue,suv,manual,1,grey,19K,petrol,2020,832000.0
12021393,Hyderabad,Maruti Suzuki,Ciaz,sedan,automatic,1,grey,66K,petrol,2019,887000.0
13284788,Hyderabad,Tata,Punch,suv,manual,1,bronze,16K,petrol,2021,699000.0
12781433,Hyderabad,Volkswagen,Polo,hatchback,manual,1,white,18K,petrol,2021,812000.0
13302165,Hyderabad,Maruti Suzuki,Celerio,hatchback,automatic,1,silver,29K,petrol,2017,446000.0
13221455,Hyderabad,Tata,Nexon,suv,automatic,1,grey,12K,petrol,2021,880175.0
13041433,Hyderabad,Tata,Nexon,suv,automatic,1,green,22K,petrol,2021,939000.0
13116097,Hyderabad,Hyundai,Grand i10 Nios,hatchback,manual,2,blue,49K,petrol,2021,597000.0
11613241,Hyderabad,Hyundai,Creta,suv,manual,1,silver,54K,petrol,2016,840000.0
13117600,Hyderabad,Maruti Suzuki,New Ertiga,muv,manual,1,blue,67K,petrol+cng,2023,1098858.0
12129250,Hyderabad,Hyundai,Creta,suv,automatic,2,black,60K,petrol,2017,1041844.0
13375413,Hyderabad,Hyundai,Verna,sedan,manual,1,black,13K,petrol,2020,1042223.0
12602441,Hyderabad,Maruti Suzuki,Dzire,sedan,automatic,1,grey,14K,petrol,2022,794000.0
12554953,Hyderabad,Ford,EcoSport,suv,automatic,1,brown,67K,petrol,2017,759000.0
12809795,Hyderabad,Renault,Triber,muv,manual,1,silver,11K,petrol,2021,614622.0
11615526,Hyderabad,Mahindra,Scorpio,suv,manual,1,white,60K,diesel,2018,991855.0
